,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Birmingham City,31,,46,506,4140,53,32,5,7,0,0,1.15,0.70,1.85,1.04,1.74
Blackburn,30,,46,506,4140,66,44,2,3,0,0,1.43,0.96,2.39,1.39,2.35
Blackpool,50,,46,495,4140,35,22,1,2,0,0,0.76,0.48,1.24,0.74,1.22
Bolton,44,,46,506,4140,54,40,4,6,0,0,1.17,0.87,2.04,1.09,1.96
Bournemouth,24,,46,506,4140,97,67,11,16,0,0,2.11,1.46,3.57,1.87,3.33
Brentford,24,,46,506,4140,76,55,3,5,0,0,1.65,1.20,2.85,1.59,2.78
Brighton,35,,46,506,4140,43,31,3,3,0,0,0.93,0.67,1.61,0.87,1.54
Cardiff City,38,,46,506,4140,56,39,4,5,0,0,1.22,0.85,2.07,1.13,1.98
Charlton Ath,32,,46,506,4140,54,30,8,8,0,0,1.17,0.65,1.83,1.00,1.65
Derby County,31,,46,506,4140,81,57,6,9,0,0,1.76,1.24,3.00,1.63,2.87
Fulham,37,,46,506,4140,61,43,6,6,0,0,1.33,0.93,2.26,1.20,2.13
Huddersfield,36,,46,495,4140,57,40,3,5,0,0,1.24,0.87,2.11,1.17,2.04
Ipswich Town,31,,46,506,4140,71,43,2,3,0,0,1.54,0.93,2.48,1.50,2.43
Leeds United,34,,46,506,4140,48,24,2,3,0,0,1.04,0.52,1.57,1.00,1.52
Middlesbrough,30,,46,506,4140,67,45,8,9,0,0,1.46,0.98,2.43,1.28,2.26
Millwall,40,,46,506,4140,42,27,4,6,0,0,0.91,0.59,1.50,0.83,1.41
Norwich City,30,,46,506,4140,87,63,4,7,0,0,1.89,1.37,3.26,1.80,3.17
Nott'ham Forest,33,,46,506,4140,70,47,4,4,0,0,1.52,1.02,2.54,1.43,2.46
Reading,38,,46,506,4140,46,33,4,6,0,0,1.00,0.72,1.72,0.91,1.63
Rotherham Utd,42,,46,506,4140,45,29,1,2,0,0,0.98,0.63,1.61,0.96,1.59
Sheffield Weds,31,,46,506,4140,42,22,6,6,0,0,0.91,0.48,1.39,0.78,1.26
Watford,31,,46,506,4140,91,59,5,7,0,0,1.98,1.28,3.26,1.87,3.15
Wigan Athletic,41,,46,506,4140,38,28,1,3,0,0,0.83,0.61,1.43,0.80,1.41
Wolves,27,,46,506,4140,65,51,3,4,0,0,1.41,1.11,2.52,1.35,2.46