Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Arsenal,28,58.0,38,418,3420,69,52,4,5,73,2,1.82,1.37,3.18,1.71,3.08,56.5,52.6,56.5,1.49,1.49,2.98,1.38,2.87
Bournemouth,28,46.8,38,418,3420,55,43,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.6,46.8,53.6,1.41,1.41,2.82,1.23,2.64
Brighton,21,42.6,38,418,3420,35,24,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.8,30.2,34.8,0.92,0.92,1.83,0.8,1.71
Burnley,23,41.2,38,418,3420,43,32,2,2,75,1,1.13,0.84,1.97,1.08,1.92,41.4,39.9,41.4,1.09,1.09,2.18,1.05,2.14
Cardiff City,25,35.6,38,418,3420,33,20,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.6,36.6,39.6,1.04,1.04,2.09,0.96,2.01
Chelsea,24,62.8,38,418,3420,61,52,5,5,49,0,1.61,1.37,2.97,1.47,2.84,57.9,54.1,57.9,1.52,1.52,3.05,1.42,2.95
Crystal Palace,26,45.0,38,418,3420,48,33,10,11,58,2,1.26,0.87,2.13,1.0,1.87,50.7,42.8,50.7,1.33,1.33,2.67,1.13,2.46
Everton,23,51.5,38,418,3420,53,34,2,5,56,4,1.39,0.89,2.29,1.34,2.24,47.4,43.5,47.4,1.25,1.25,2.5,1.14,2.39
Fulham,28,48.6,38,418,3420,33,24,2,3,70,2,0.87,0.63,1.5,0.82,1.45,39.5,37.2,39.5,1.04,1.04,2.08,0.98,2.02
Huddersfield,31,47.0,38,418,3420,20,13,1,1,56,4,0.53,0.34,0.87,0.5,0.84,30.0,29.3,30.0,0.79,0.79,1.58,0.77,1.56
Leicester City,25,51.1,38,418,3420,48,34,5,7,60,5,1.26,0.89,2.16,1.13,2.03,49.4,44.3,49.4,1.3,1.3,2.6,1.16,2.46
Liverpool,23,61.7,38,418,3420,86,55,7,7,39,2,2.26,1.45,3.71,2.08,3.53,72.9,67.6,72.9,1.92,1.92,3.84,1.78,3.7
Manchester City,21,67.8,38,418,3420,91,71,3,4,44,1,2.39,1.87,4.26,2.32,4.18,81.6,78.5,81.6,2.15,2.15,4.29,2.07,4.21
Manchester Utd,28,54.5,38,418,3420,65,40,9,12,75,4,1.71,1.05,2.76,1.47,2.53,59.6,50.4,59.6,1.57,1.57,3.14,1.33,2.9
Newcastle Utd,24,40.4,38,418,3420,41,33,1,3,57,2,1.08,0.87,1.95,1.05,1.92,38.8,36.5,38.8,1.02,1.02,2.04,0.96,1.98
Southampton,30,43.9,38,418,3420,44,27,4,5,73,3,1.16,0.71,1.87,1.05,1.76,45.2,41.5,45.2,1.19,1.19,2.38,1.09,2.28
Tottenham,28,58.9,38,418,3420,66,47,4,4,57,3,1.74,1.24,2.97,1.63,2.87,54.4,51.4,54.4,1.43,1.43,2.86,1.35,2.78
Watford,25,47.1,38,418,3420,51,39,1,1,79,4,1.34,1.03,2.37,1.32,2.34,47.7,47.0,47.7,1.26,1.26,2.51,1.24,2.49
West Ham,26,48.7,38,418,3420,51,33,5,5,59,1,1.34,0.87,2.21,1.21,2.08,48.4,44.7,48.4,1.27,1.27,2.55,1.18,2.45
Wolves,21,46.9,38,418,3420,46,35,4,4,73,1,1.21,0.92,2.13,1.11,2.03,49.4,46.4,49.4,1.3,1.3,2.6,1.22,2.52
Aston Villa,31,53.9,46,506,4140,81,59,6,8,80,3,1.76,1.28,3.04,1.63,2.91,,,,,,,,
Birmingham City,25,40.5,46,506,4140,62,46,2,3,81,3,1.35,1.0,2.35,1.3,2.3,,,,,,,,
Blackburn,28,50.0,46,506,4140,63,30,9,9,73,2,1.37,0.65,2.02,1.17,1.83,,,,,,,,
Bolton,32,40.8,46,495,4050,28,20,0,1,76,4,0.62,0.44,1.07,0.62,1.07,,,,,,,,
Brentford,30,58.6,46,495,4050,69,53,3,3,75,3,1.53,1.18,2.71,1.47,2.64,,,,,,,,
Bristol City,29,51.6,46,506,4140,56,42,2,2,78,2,1.22,0.91,2.13,1.17,2.09,,,,,,,,
Derby County,29,56.2,46,506,4140,68,46,5,5,96,1,1.48,1.0,2.48,1.37,2.37,,,,,,,,
Hull City,28,45.9,46,506,4140,66,43,4,5,70,1,1.43,0.93,2.37,1.35,2.28,,,,,,,,
Ipswich Town,38,49.8,46,506,4140,34,25,2,2,76,5,0.74,0.54,1.28,0.7,1.24,,,,,,,,
Leeds United,28,64.6,46,506,4140,72,61,2,5,86,4,1.57,1.33,2.89,1.52,2.85,,,,,,,,
Middlesbrough,24,43.6,46,506,4140,48,27,5,5,80,3,1.04,0.59,1.63,0.93,1.52,,,,,,,,
Millwall,29,43.8,46,506,4140,47,35,3,5,78,1,1.02,0.76,1.78,0.96,1.72,,,,,,,,
Norwich City,24,57.6,46,506,4140,92,70,1,7,79,1,2.0,1.52,3.52,1.98,3.5,,,,,,,,
Nott'ham Forest,32,49.6,46,506,4140,58,39,5,9,105,6,1.26,0.85,2.11,1.15,2.0,,,,,,,,
Preston,31,51.3,46,506,4140,64,44,5,5,69,7,1.39,0.96,2.35,1.28,2.24,,,,,,,,
QPR,29,44.5,46,506,4140,52,36,2,5,92,1,1.13,0.78,1.91,1.09,1.87,,,,,,,,
Reading,39,49.3,46,506,4140,48,33,3,4,80,3,1.04,0.72,1.76,0.98,1.7,,,,,,,,
Rotherham Utd,26,42.1,46,506,4140,50,28,6,7,72,3,1.09,0.61,1.7,0.96,1.57,,,,,,,,
Sheffield Utd,26,52.1,46,506,4140,75,59,5,7,75,3,1.63,1.28,2.91,1.52,2.8,,,,,,,,
Sheffield Weds,31,48.4,46,506,4140,59,45,2,4,76,3,1.28,0.98,2.26,1.24,2.22,,,,,,,,
Stoke City,30,51.2,46,506,4140,43,32,2,8,72,5,0.93,0.7,1.63,0.89,1.59,,,,,,,,
Swansea City,28,57.7,46,506,4140,60,45,4,7,45,1,1.3,0.98,2.28,1.22,2.2,,,,,,,,
West Brom,29,51.6,46,506,4140,84,51,8,9,78,5,1.83,1.11,2.93,1.65,2.76,,,,,,,,
Wigan Athletic,32,47.0,46,506,4140,50,30,7,9,91,4,1.09,0.65,1.74,0.93,1.59,,,,,,,,
