,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G
1,Newcastle Utd,23,15,3,5,49,23,+26,48,2.09,23,14,4,5,36,17,+19,46,2.00
2,Brighton,23,17,3,3,46,14,+32,54,2.35,23,11,6,6,28,26,+2,39,1.70
3,Reading,23,16,5,2,35,16,+19,53,2.30,23,10,2,11,33,48,-15,32,1.39
4,Sheffield Weds,23,15,2,6,36,22,+14,47,2.04,23,9,7,7,24,23,+1,34,1.48
5,Huddersfield,23,15,2,6,34,26,+8,47,2.04,23,10,4,9,22,32,-10,34,1.48
6,Fulham,23,10,8,5,45,32,+13,38,1.65,23,12,6,5,40,25,+15,42,1.83
7,Leeds United,23,14,4,5,32,16,+16,46,2.00,23,8,5,10,29,31,-2,29,1.26
8,Norwich City,23,15,4,4,55,22,+33,49,2.13,23,5,6,12,30,47,-17,21,0.91
9,Derby County,23,11,8,4,33,20,+13,41,1.78,23,7,5,11,21,30,-9,26,1.13
10,Brentford,23,11,5,7,42,25,+17,38,1.65,23,7,5,11,33,40,-7,26,1.13
11,Preston,23,11,6,6,40,26,+14,39,1.70,23,5,8,10,24,37,-13,23,1.00
12,Cardiff City,23,11,4,8,31,26,+5,37,1.61,23,6,7,10,29,35,-6,25,1.09
13,Aston Villa,23,12,8,3,33,20,+13,44,1.91,23,4,6,13,14,28,-14,18,0.78
14,Barnsley,23,6,11,6,32,33,-1,29,1.26,23,9,2,12,32,34,-2,29,1.26
15,Wolves,23,8,4,11,25,30,-5,28,1.22,23,8,6,9,29,28,+1,30,1.30
16,Ipswich Town,23,8,10,5,30,24,+6,34,1.48,23,5,6,12,18,34,-16,21,0.91
17,Bristol City,23,11,4,8,33,26,+7,37,1.61,23,4,5,14,27,40,-13,17,0.74
18,QPR,23,9,4,10,30,32,-2,31,1.35,23,6,4,13,22,34,-12,22,0.96
19,Birmingham City,23,8,5,10,25,31,-6,29,1.26,23,5,9,9,20,33,-13,24,1.04
20,Burton Albion,23,9,4,10,28,30,-2,31,1.35,23,4,9,10,21,33,-12,21,0.91
21,Nott'ham Forest,23,12,4,7,42,30,+12,40,1.74,23,2,5,16,20,42,-22,11,0.48
22,Blackburn,23,8,8,7,29,30,-1,32,1.39,23,4,7,12,24,35,-11,19,0.83
23,Wigan Athletic,23,5,8,10,19,26,-7,23,1.00,23,5,4,14,21,31,-10,19,0.83
24,Rotherham Utd,23,5,6,12,23,34,-11,21,0.91,23,0,2,21,17,64,-47,2,0.09