,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
1,Manchester City,19,16,2,1,61,14,+47,50,2.63,45.3,10.9,+34.4,+1.81,19,16,2,1,45,13,+32,50,2.63,36.3,12.5,+23.9,+1.26
2,Manchester Utd,19,15,2,2,38,9,+29,47,2.47,32.0,15.0,+17.0,+0.89,19,10,4,5,30,19,+11,34,1.79,25.4,25.2,+0.2,+0.01
3,Tottenham,19,13,4,2,40,16,+24,43,2.26,36.3,15.5,+20.8,+1.10,19,10,4,5,34,20,+14,34,1.79,31.4,19.3,+12.1,+0.64
4,Liverpool,19,12,7,0,45,10,+35,43,2.26,38.9,12.0,+26.8,+1.41,19,9,5,5,39,28,+11,32,1.68,32.5,22.2,+10.2,+0.54
5,Chelsea,19,11,4,4,30,16,+14,37,1.95,30.1,15.3,+14.8,+0.78,19,10,3,6,32,22,+10,33,1.74,26.7,19.1,+7.6,+0.40
6,Arsenal,19,15,2,2,54,20,+34,47,2.47,40.5,24.7,+15.7,+0.83,19,4,4,11,20,31,-11,16,0.84,22.9,26.5,-3.7,-0.19
7,Burnley,19,7,5,7,16,17,-1,26,1.37,19.1,23.1,-4.0,-0.21,19,7,7,5,20,22,-2,28,1.47,16.1,25.1,-9.0,-0.48
8,Everton,19,10,4,5,28,22,+6,34,1.79,21.9,22.9,-1.0,-0.05,19,3,6,10,16,36,-20,15,0.79,18.8,28.3,-9.5,-0.50
9,Leicester City,19,7,6,6,25,22,+3,27,1.42,25.0,19.8,+5.2,+0.27,19,5,5,9,31,38,-7,20,1.05,22.2,29.1,-6.9,-0.36
10,Newcastle Utd,19,8,4,7,21,17,+4,28,1.47,22.3,21.3,+0.9,+0.05,19,4,4,11,18,30,-12,16,0.84,20.3,31.5,-11.2,-0.59
11,Crystal Palace,19,7,5,7,29,27,+2,26,1.37,33.5,23.0,+10.6,+0.56,19,4,6,9,16,28,-12,18,0.95,20.3,26.6,-6.3,-0.33
12,Bournemouth,19,7,5,7,26,30,-4,26,1.37,25.6,28.2,-2.6,-0.14,19,4,6,9,19,31,-12,18,0.95,18.8,31.0,-12.2,-0.64
13,West Ham,19,7,6,6,24,26,-2,27,1.42,19.0,20.9,-1.9,-0.10,19,3,6,10,24,42,-18,15,0.79,19.0,36.6,-17.6,-0.93
14,Watford,19,7,6,6,27,31,-4,27,1.42,23.4,26.8,-3.4,-0.18,19,4,2,13,17,33,-16,14,0.74,21.4,29.5,-8.0,-0.42
15,Brighton,19,7,8,4,24,25,-1,29,1.53,23.9,20.9,+3.1,+0.16,19,2,5,12,10,29,-19,11,0.58,13.5,28.7,-15.2,-0.80
16,Huddersfield,19,6,5,8,16,25,-9,23,1.21,17.6,24.7,-7.1,-0.37,19,3,5,11,12,33,-21,14,0.74,15.0,29.8,-14.8,-0.78
17,Southampton,19,4,7,8,20,26,-6,19,1.00,22.9,20.6,+2.3,+0.12,19,3,8,8,17,30,-13,17,0.89,17.5,25.8,-8.3,-0.44
18,Swansea City,19,6,3,10,17,24,-7,21,1.11,19.9,24.6,-4.7,-0.25,19,2,6,11,11,32,-21,12,0.63,11.3,34.4,-23.1,-1.22
19,Stoke City,19,5,5,9,20,30,-10,20,1.05,21.8,28.8,-7.0,-0.37,19,2,7,10,15,38,-23,13,0.68,16.1,31.2,-15.1,-0.80
20,West Brom,19,3,9,7,21,29,-8,18,0.95,20.8,20.8,-0.1,0.00,19,3,4,12,10,27,-17,13,0.68,14.6,27.5,-12.9,-0.68